threshold,precision,closed_recall,open_specificity,f1,balanced_accuracy,tp,fp,tn,fn
0.175,0.8988326848249028,0.8279569892473119,0.9921044640145764,0.8619402985074627,0.9100307266309442,231,26,3267,48
0.18,0.8984375,0.8243727598566308,0.9921044640145764,0.8598130841121495,0.9082386119356036,230,26,3267,49
0.18499999999999997,0.8984375,0.8243727598566308,0.9921044640145764,0.8598130841121495,0.9082386119356036,230,26,3267,49
0.18999999999999997,0.9015748031496063,0.8207885304659498,0.9924081384755542,0.8592870544090054,0.906598334470752,229,25,3268,50
0.19499999999999998,0.9015748031496063,0.8207885304659498,0.9924081384755542,0.8592870544090054,0.906598334470752,229,25,3268,50
0.19999999999999998,0.9015748031496063,0.8207885304659498,0.9924081384755542,0.8592870544090054,0.906598334470752,229,25,3268,50
0.205,0.9015748031496063,0.8207885304659498,0.9924081384755542,0.8592870544090054,0.906598334470752,229,25,3268,50
0.20999999999999996,0.9015748031496063,0.8207885304659498,0.9924081384755542,0.8592870544090054,0.906598334470752,229,25,3268,50
0.21499999999999997,0.9015748031496063,0.8207885304659498,0.9924081384755542,0.8592870544090054,0.906598334470752,229,25,3268,50
0.21999999999999997,0.9015748031496063,0.8207885304659498,0.9924081384755542,0.8592870544090054,0.906598334470752,229,25,3268,50
0.22499999999999998,0.9051383399209486,0.8207885304659498,0.992711812936532,0.8609022556390977,0.906750171701241,229,24,3269,50
0.22999999999999998,0.9087301587301587,0.8207885304659498,0.9930154873975099,0.8625235404896422,0.9069020089317299,229,23,3270,50
0.235,0.9123505976095617,0.8207885304659498,0.9933191618584877,0.8641509433962264,0.9070538461622187,229,22,3271,50
0.23999999999999996,0.9153225806451613,0.8136200716845878,0.9936228363194656,0.8614800759013282,0.9036214540020266,227,21,3272,52
0.24499999999999997,0.9227642276422764,0.8136200716845878,0.9942301852414211,0.8647619047619046,0.9039251284630045,227,19,3274,52
0.24999999999999997,0.9227642276422764,0.8136200716845878,0.9942301852414211,0.8647619047619046,0.9039251284630045,227,19,3274,52
0.25499999999999995,0.9227642276422764,0.8136200716845878,0.9942301852414211,0.8647619047619046,0.9039251284630045,227,19,3274,52
0.25999999999999995,0.9227642276422764,0.8136200716845878,0.9942301852414211,0.8647619047619046,0.9039251284630045,227,19,3274,52
0.26499999999999996,0.926530612244898,0.8136200716845878,0.994533859702399,0.866412213740458,0.9040769656934935,227,18,3275,52
0.26999999999999996,0.926530612244898,0.8136200716845878,0.994533859702399,0.866412213740458,0.9040769656934935,227,18,3275,52
0.27499999999999997,0.926530612244898,0.8136200716845878,0.994533859702399,0.866412213740458,0.9040769656934935,227,18,3275,52
0.27999999999999997,0.930327868852459,0.8136200716845878,0.9948375341633768,0.8680688336520076,0.9042288029239823,227,17,3276,52
0.285,0.934156378600823,0.8136200716845878,0.9951412086243547,0.8697318007662836,0.9043806401544713,227,16,3277,52
0.29,0.934156378600823,0.8136200716845878,0.9951412086243547,0.8697318007662836,0.9043806401544713,227,16,3277,52
0.295,0.934156378600823,0.8136200716845878,0.9951412086243547,0.8697318007662836,0.9043806401544713,227,16,3277,52
0.3,0.934156378600823,0.8136200716845878,0.9951412086243547,0.8697318007662836,0.9043806401544713,227,16,3277,52
0.30499999999999994,0.9380165289256198,0.8136200716845878,0.9954448830853325,0.8714011516314779,0.9045324773849601,227,15,3278,52
0.30999999999999994,0.9380165289256198,0.8136200716845878,0.9954448830853325,0.8714011516314779,0.9045324773849601,227,15,3278,52
0.31499999999999995,0.9380165289256198,0.8136200716845878,0.9954448830853325,0.8714011516314779,0.9045324773849601,227,15,3278,52
0.31999999999999995,0.9380165289256198,0.8136200716845878,0.9954448830853325,0.8714011516314779,0.9045324773849601,227,15,3278,52
0.32499999999999996,0.9380165289256198,0.8136200716845878,0.9954448830853325,0.8714011516314779,0.9045324773849601,227,15,3278,52
0.32999999999999996,0.9380165289256198,0.8136200716845878,0.9954448830853325,0.8714011516314779,0.9045324773849601,227,15,3278,52
0.33499999999999996,0.9380165289256198,0.8136200716845878,0.9954448830853325,0.8714011516314779,0.9045324773849601,227,15,3278,52
0.33999999999999997,0.9380165289256198,0.8136200716845878,0.9954448830853325,0.8714011516314779,0.9045324773849601,227,15,3278,52
0.345,0.9380165289256198,0.8136200716845878,0.9954448830853325,0.8714011516314779,0.9045324773849601,227,15,3278,52
0.35,0.9380165289256198,0.8136200716845878,0.9954448830853325,0.8714011516314779,0.9045324773849601,227,15,3278,52
0.355,0.9380165289256198,0.8136200716845878,0.9954448830853325,0.8714011516314779,0.9045324773849601,227,15,3278,52
0.35999999999999993,0.9380165289256198,0.8136200716845878,0.9954448830853325,0.8714011516314779,0.9045324773849601,227,15,3278,52
0.36499999999999994,0.9380165289256198,0.8136200716845878,0.9954448830853325,0.8714011516314779,0.9045324773849601,227,15,3278,52
0.36999999999999994,0.9380165289256198,0.8136200716845878,0.9954448830853325,0.8714011516314779,0.9045324773849601,227,15,3278,52
0.37499999999999994,0.941908713692946,0.8136200716845878,0.9957485575463103,0.8730769230769231,0.9046843146154491,227,14,3279,52
0.37999999999999995,0.941908713692946,0.8136200716845878,0.9957485575463103,0.8730769230769231,0.9046843146154491,227,14,3279,52
0.38499999999999995,0.9456066945606695,0.8100358422939068,0.9960522320072882,0.8725868725868726,0.9030440371505974,226,13,3280,53
0.38999999999999996,0.9456066945606695,0.8100358422939068,0.9960522320072882,0.8725868725868726,0.9030440371505974,226,13,3280,53
0.39499999999999996,0.9453781512605042,0.8064516129032258,0.9960522320072882,0.8704061895551256,0.901251922455257,225,13,3280,54
0.39999999999999997,0.9453781512605042,0.8064516129032258,0.9960522320072882,0.8704061895551256,0.901251922455257,225,13,3280,54
0.40499999999999997,0.9453781512605042,0.8064516129032258,0.9960522320072882,0.8704061895551256,0.901251922455257,225,13,3280,54
0.4099999999999999,0.9453781512605042,0.8064516129032258,0.9960522320072882,0.8704061895551256,0.901251922455257,225,13,3280,54
0.4149999999999999,0.9453781512605042,0.8064516129032258,0.9960522320072882,0.8704061895551256,0.901251922455257,225,13,3280,54
0.41999999999999993,0.9453781512605042,0.8064516129032258,0.9960522320072882,0.8704061895551256,0.901251922455257,225,13,3280,54
0.42499999999999993,0.9453781512605042,0.8064516129032258,0.9960522320072882,0.8704061895551256,0.901251922455257,225,13,3280,54
0.42999999999999994,0.9451476793248945,0.8028673835125448,0.9960522320072882,0.8682170542635659,0.8994598077599165,224,13,3280,55
0.43499999999999994,0.9451476793248945,0.8028673835125448,0.9960522320072882,0.8682170542635659,0.8994598077599165,224,13,3280,55
0.43999999999999995,0.9451476793248945,0.8028673835125448,0.9960522320072882,0.8682170542635659,0.8994598077599165,224,13,3280,55
0.44499999999999995,0.9451476793248945,0.8028673835125448,0.9960522320072882,0.8682170542635659,0.8994598077599165,224,13,3280,55
0.44999999999999996,0.9491525423728814,0.8028673835125448,0.996355906468266,0.8699029126213592,0.8996116449904055,224,12,3281,55
0.45499999999999996,0.9491525423728814,0.8028673835125448,0.996355906468266,0.8699029126213592,0.8996116449904055,224,12,3281,55
0.45999999999999996,0.9491525423728814,0.8028673835125448,0.996355906468266,0.8699029126213592,0.8996116449904055,224,12,3281,55
0.4649999999999999,0.9491525423728814,0.8028673835125448,0.996355906468266,0.8699029126213592,0.8996116449904055,224,12,3281,55
0.4699999999999999,0.9491525423728814,0.8028673835125448,0.996355906468266,0.8699029126213592,0.8996116449904055,224,12,3281,55
0.4749999999999999,0.9491525423728814,0.8028673835125448,0.996355906468266,0.8699029126213592,0.8996116449904055,224,12,3281,55
0.4799999999999999,0.9491525423728814,0.8028673835125448,0.996355906468266,0.8699029126213592,0.8996116449904055,224,12,3281,55
0.48499999999999993,0.9491525423728814,0.8028673835125448,0.996355906468266,0.8699029126213592,0.8996116449904055,224,12,3281,55
0.48999999999999994,0.9491525423728814,0.8028673835125448,0.996355906468266,0.8699029126213592,0.8996116449904055,224,12,3281,55
0.49499999999999994,0.9491525423728814,0.8028673835125448,0.996355906468266,0.8699029126213592,0.8996116449904055,224,12,3281,55
0.49999999999999994,0.9491525423728814,0.8028673835125448,0.996355906468266,0.8699029126213592,0.8996116449904055,224,12,3281,55
0.5049999999999999,0.9491525423728814,0.8028673835125448,0.996355906468266,0.8699029126213592,0.8996116449904055,224,12,3281,55
0.5099999999999999,0.9491525423728814,0.8028673835125448,0.996355906468266,0.8699029126213592,0.8996116449904055,224,12,3281,55
0.5149999999999999,0.9491525423728814,0.8028673835125448,0.996355906468266,0.8699029126213592,0.8996116449904055,224,12,3281,55
0.5199999999999999,0.9491525423728814,0.8028673835125448,0.996355906468266,0.8699029126213592,0.8996116449904055,224,12,3281,55
0.5249999999999999,0.948936170212766,0.7992831541218638,0.996355906468266,0.867704280155642,0.8978195302950649,223,12,3281,56
0.5299999999999999,0.948936170212766,0.7992831541218638,0.996355906468266,0.867704280155642,0.8978195302950649,223,12,3281,56
0.5349999999999999,0.948936170212766,0.7992831541218638,0.996355906468266,0.867704280155642,0.8978195302950649,223,12,3281,56
0.5399999999999999,0.948936170212766,0.7992831541218638,0.996355906468266,0.867704280155642,0.8978195302950649,223,12,3281,56
0.5449999999999999,0.948936170212766,0.7992831541218638,0.996355906468266,0.867704280155642,0.8978195302950649,223,12,3281,56
0.5499999999999999,0.948936170212766,0.7992831541218638,0.996355906468266,0.867704280155642,0.8978195302950649,223,12,3281,56
0.5549999999999999,0.948936170212766,0.7992831541218638,0.996355906468266,0.867704280155642,0.8978195302950649,223,12,3281,56
0.5599999999999999,0.948936170212766,0.7992831541218638,0.996355906468266,0.867704280155642,0.8978195302950649,223,12,3281,56
0.565,0.948936170212766,0.7992831541218638,0.996355906468266,0.867704280155642,0.8978195302950649,223,12,3281,56
0.57,0.948936170212766,0.7992831541218638,0.996355906468266,0.867704280155642,0.8978195302950649,223,12,3281,56
0.575,0.948936170212766,0.7992831541218638,0.996355906468266,0.867704280155642,0.8978195302950649,223,12,3281,56
0.58,0.9487179487179487,0.7956989247311828,0.996355906468266,0.8654970760233918,0.8960274155997243,222,12,3281,57
0.585,0.9482758620689655,0.7885304659498208,0.996355906468266,0.8610567514677103,0.8924431862090434,220,12,3281,59
0.59,0.9482758620689655,0.7885304659498208,0.996355906468266,0.8610567514677103,0.8924431862090434,220,12,3281,59
0.595,0.9482758620689655,0.7885304659498208,0.996355906468266,0.8610567514677103,0.8924431862090434,220,12,3281,59
0.5999999999999999,0.9482758620689655,0.7885304659498208,0.996355906468266,0.8610567514677103,0.8924431862090434,220,12,3281,59
0.6049999999999999,0.9482758620689655,0.7885304659498208,0.996355906468266,0.8610567514677103,0.8924431862090434,220,12,3281,59
0.6099999999999999,0.9482758620689655,0.7885304659498208,0.996355906468266,0.8610567514677103,0.8924431862090434,220,12,3281,59
0.6149999999999999,0.9521739130434783,0.7849462365591398,0.9966595809292439,0.8605108055009824,0.8908029087441918,219,11,3282,60
0.6199999999999999,0.9519650655021834,0.7813620071684588,0.9966595809292439,0.8582677165354331,0.8890107940488514,218,11,3282,61
0.6249999999999999,0.9519650655021834,0.7813620071684588,0.9966595809292439,0.8582677165354331,0.8890107940488514,218,11,3282,61
0.6299999999999999,0.9559471365638766,0.7777777777777778,0.9969632553902217,0.857707509881423,0.8873705165839998,217,10,3283,62
0.6349999999999999,0.9559471365638766,0.7777777777777778,0.9969632553902217,0.857707509881423,0.8873705165839998,217,10,3283,62
0.6399999999999999,0.9559471365638766,0.7777777777777778,0.9969632553902217,0.857707509881423,0.8873705165839998,217,10,3283,62
0.6449999999999999,0.9559471365638766,0.7777777777777778,0.9969632553902217,0.857707509881423,0.8873705165839998,217,10,3283,62
0.6499999999999999,0.9559471365638766,0.7777777777777778,0.9969632553902217,0.857707509881423,0.8873705165839998,217,10,3283,62
