threshold,precision,yawn_recall,non_yawn_specificity,f1,balanced_accuracy,tp,fp,tn,fn
0.24499999999999997,0.8022598870056498,0.9342105263157895,0.9728682170542635,0.8632218844984803,0.9535393716850264,284,70,2510,20
0.24999999999999997,0.8068181818181818,0.9342105263157895,0.9736434108527132,0.8658536585365854,0.9539269685842513,284,68,2512,20
0.25499999999999995,0.8068181818181818,0.9342105263157895,0.9736434108527132,0.8658536585365854,0.9539269685842513,284,68,2512,20
0.25999999999999995,0.8132183908045977,0.930921052631579,0.9748062015503876,0.8680981595092024,0.9528636270909833,283,65,2515,21
0.26499999999999996,0.8179190751445087,0.930921052631579,0.9755813953488373,0.8707692307692307,0.9532512239902081,283,63,2517,21
0.26999999999999996,0.8221574344023324,0.9276315789473685,0.9763565891472868,0.8717156105100464,0.9519940840473277,282,61,2519,22
0.27499999999999997,0.8221574344023324,0.9276315789473685,0.9763565891472868,0.8717156105100464,0.9519940840473277,282,61,2519,22
0.27999999999999997,0.8245614035087719,0.9276315789473685,0.9767441860465116,0.8730650154798762,0.9521878824969401,282,60,2520,22
0.285,0.8245614035087719,0.9276315789473685,0.9767441860465116,0.8730650154798762,0.9521878824969401,282,60,2520,22
0.29,0.8269794721407625,0.9276315789473685,0.9771317829457364,0.8744186046511628,0.9523816809465524,282,59,2521,22
0.295,0.8294117647058824,0.9276315789473685,0.9775193798449613,0.875776397515528,0.9525754793961649,282,58,2522,22
0.3,0.834319526627219,0.9276315789473685,0.9782945736434109,0.8785046728971962,0.9529630762953897,282,56,2524,22
0.30499999999999994,0.8388059701492537,0.9243421052631579,0.9790697674418605,0.8794992175273865,0.9517059363525091,281,54,2526,23
0.30999999999999994,0.8413173652694611,0.9243421052631579,0.9794573643410853,0.8808777429467085,0.9518997348021216,281,53,2527,23
0.31499999999999995,0.8413173652694611,0.9243421052631579,0.9794573643410853,0.8808777429467085,0.9518997348021216,281,53,2527,23
0.31999999999999995,0.8433734939759037,0.9210526315789473,0.9798449612403101,0.8805031446540881,0.9504487964096286,280,52,2528,24
0.32499999999999996,0.8536585365853658,0.9210526315789473,0.9813953488372092,0.8860759493670887,0.9512239902080784,280,48,2532,24
0.32999999999999996,0.8562691131498471,0.9210526315789473,0.9817829457364341,0.8874801901743264,0.9514177886576907,280,47,2533,24
0.33499999999999996,0.8615384615384616,0.9210526315789473,0.9825581395348837,0.890302066772655,0.9518053855569155,280,45,2535,24
0.33999999999999997,0.8641975308641975,0.9210526315789473,0.9829457364341085,0.89171974522293,0.9519991840065279,280,44,2536,24
0.345,0.871875,0.9177631578947368,0.984108527131783,0.8942307692307692,0.9509358425132599,279,41,2539,25
0.35,0.8769716088328076,0.9144736842105263,0.9848837209302326,0.895330112721417,0.9496787025703795,278,39,2541,26
0.355,0.8769716088328076,0.9144736842105263,0.9848837209302326,0.895330112721417,0.9496787025703795,278,39,2541,26
0.35999999999999993,0.8769716088328076,0.9144736842105263,0.9848837209302326,0.895330112721417,0.9496787025703795,278,39,2541,26
0.36499999999999994,0.8853503184713376,0.9144736842105263,0.986046511627907,0.8996763754045308,0.9502600979192166,278,36,2544,26
0.36999999999999994,0.8881789137380192,0.9144736842105263,0.9864341085271318,0.9011345218800648,0.950453896368829,278,35,2545,26
0.37499999999999994,0.8881789137380192,0.9144736842105263,0.9864341085271318,0.9011345218800648,0.950453896368829,278,35,2545,26
0.37999999999999995,0.8881789137380192,0.9144736842105263,0.9864341085271318,0.9011345218800648,0.950453896368829,278,35,2545,26
0.38499999999999995,0.8903225806451613,0.9078947368421053,0.9868217054263566,0.8990228013029316,0.947358221134231,276,34,2546,28
0.38999999999999996,0.8932038834951457,0.9078947368421053,0.9872093023255814,0.900489396411093,0.9475520195838434,276,33,2547,28
0.39499999999999996,0.8932038834951457,0.9078947368421053,0.9872093023255814,0.900489396411093,0.9475520195838434,276,33,2547,28
0.39999999999999997,0.8990228013029316,0.9078947368421053,0.987984496124031,0.9034369885433715,0.9479396164830682,276,31,2549,28
0.40499999999999997,0.8990228013029316,0.9078947368421053,0.987984496124031,0.9034369885433715,0.9479396164830682,276,31,2549,28
0.4099999999999999,0.8990228013029316,0.9078947368421053,0.987984496124031,0.9034369885433715,0.9479396164830682,276,31,2549,28
0.4149999999999999,0.8990228013029316,0.9078947368421053,0.987984496124031,0.9034369885433715,0.9479396164830682,276,31,2549,28
0.41999999999999993,0.9019607843137255,0.9078947368421053,0.9883720930232558,0.9049180327868853,0.9481334149326806,276,30,2550,28
0.42499999999999993,0.9019607843137255,0.9078947368421053,0.9883720930232558,0.9049180327868853,0.9481334149326806,276,30,2550,28
0.42999999999999994,0.9078947368421053,0.9078947368421053,0.9891472868217054,0.9078947368421053,0.9485210118319054,276,28,2552,28
0.43499999999999994,0.9108910891089109,0.9078947368421053,0.9895348837209302,0.9093904448105438,0.9487148102815177,276,27,2553,28
0.43999999999999995,0.9108910891089109,0.9078947368421053,0.9895348837209302,0.9093904448105438,0.9487148102815177,276,27,2553,28
0.44499999999999995,0.9108910891089109,0.9078947368421053,0.9895348837209302,0.9093904448105438,0.9487148102815177,276,27,2553,28
0.44999999999999996,0.9108910891089109,0.9078947368421053,0.9895348837209302,0.9093904448105438,0.9487148102815177,276,27,2553,28
0.45499999999999996,0.9108910891089109,0.9078947368421053,0.9895348837209302,0.9093904448105438,0.9487148102815177,276,27,2553,28
0.45999999999999996,0.9139072847682119,0.9078947368421053,0.9899224806201551,0.9108910891089109,0.9489086087311303,276,26,2554,28
0.4649999999999999,0.9169435215946844,0.9078947368421053,0.9903100775193798,0.912396694214876,0.9491024071807426,276,25,2555,28
0.4699999999999999,0.9169435215946844,0.9078947368421053,0.9903100775193798,0.912396694214876,0.9491024071807426,276,25,2555,28
0.4749999999999999,0.9169435215946844,0.9078947368421053,0.9903100775193798,0.912396694214876,0.9491024071807426,276,25,2555,28
0.4799999999999999,0.92,0.9078947368421053,0.9906976744186047,0.913907284768212,0.949296205630355,276,24,2556,28
0.48499999999999993,0.92,0.9078947368421053,0.9906976744186047,0.913907284768212,0.949296205630355,276,24,2556,28
0.48999999999999994,0.92,0.9078947368421053,0.9906976744186047,0.913907284768212,0.949296205630355,276,24,2556,28
0.49499999999999994,0.92,0.9078947368421053,0.9906976744186047,0.913907284768212,0.949296205630355,276,24,2556,28
0.49999999999999994,0.92,0.9078947368421053,0.9906976744186047,0.913907284768212,0.949296205630355,276,24,2556,28
0.5049999999999999,0.92,0.9078947368421053,0.9906976744186047,0.913907284768212,0.949296205630355,276,24,2556,28
0.5099999999999999,0.9230769230769231,0.9078947368421053,0.9910852713178294,0.9154228855721394,0.9494900040799674,276,23,2557,28
0.5149999999999999,0.9230769230769231,0.9078947368421053,0.9910852713178294,0.9154228855721394,0.9494900040799674,276,23,2557,28
0.5199999999999999,0.9261744966442953,0.9078947368421053,0.9914728682170543,0.9169435215946845,0.9496838025295797,276,22,2558,28
0.5249999999999999,0.9292929292929293,0.9078947368421053,0.9918604651162791,0.9184692179700499,0.9498776009791923,276,21,2559,28
0.5299999999999999,0.9292929292929293,0.9078947368421053,0.9918604651162791,0.9184692179700499,0.9498776009791923,276,21,2559,28
0.5349999999999999,0.9292929292929293,0.9078947368421053,0.9918604651162791,0.9184692179700499,0.9498776009791923,276,21,2559,28
0.5399999999999999,0.9292929292929293,0.9078947368421053,0.9918604651162791,0.9184692179700499,0.9498776009791923,276,21,2559,28
0.5449999999999999,0.9292929292929293,0.9078947368421053,0.9918604651162791,0.9184692179700499,0.9498776009791923,276,21,2559,28
0.5499999999999999,0.9290540540540541,0.9046052631578947,0.9918604651162791,0.9166666666666667,0.948232864137087,275,21,2559,29
0.5549999999999999,0.9290540540540541,0.9046052631578947,0.9918604651162791,0.9166666666666667,0.948232864137087,275,21,2559,29
0.5599999999999999,0.9290540540540541,0.9046052631578947,0.9918604651162791,0.9166666666666667,0.948232864137087,275,21,2559,29
0.565,0.9288135593220339,0.9013157894736842,0.9918604651162791,0.9148580968280469,0.9465881272949817,274,21,2559,30
0.57,0.9288135593220339,0.9013157894736842,0.9918604651162791,0.9148580968280469,0.9465881272949817,274,21,2559,30
0.575,0.9319727891156463,0.9013157894736842,0.9922480620155039,0.9163879598662207,0.946781925744594,274,20,2560,30
0.58,0.9383561643835616,0.9013157894736842,0.9930232558139535,0.9194630872483222,0.9471695226438188,274,18,2562,30
0.585,0.9383561643835616,0.9013157894736842,0.9930232558139535,0.9194630872483222,0.9471695226438188,274,18,2562,30
0.59,0.9383561643835616,0.9013157894736842,0.9930232558139535,0.9194630872483222,0.9471695226438188,274,18,2562,30
0.595,0.9383561643835616,0.9013157894736842,0.9930232558139535,0.9194630872483222,0.9471695226438188,274,18,2562,30
0.5999999999999999,0.9383561643835616,0.9013157894736842,0.9930232558139535,0.9194630872483222,0.9471695226438188,274,18,2562,30
0.6049999999999999,0.9415807560137457,0.9013157894736842,0.9934108527131783,0.9210084033613445,0.9473633210934312,274,17,2563,30
0.6099999999999999,0.9413793103448276,0.8980263157894737,0.9934108527131783,0.9191919191919192,0.945718584251326,273,17,2563,31
0.6149999999999999,0.9413793103448276,0.8980263157894737,0.9934108527131783,0.9191919191919192,0.945718584251326,273,17,2563,31
0.6199999999999999,0.9413793103448276,0.8980263157894737,0.9934108527131783,0.9191919191919192,0.945718584251326,273,17,2563,31
0.6249999999999999,0.9413793103448276,0.8980263157894737,0.9934108527131783,0.9191919191919192,0.945718584251326,273,17,2563,31
0.6299999999999999,0.9413793103448276,0.8980263157894737,0.9934108527131783,0.9191919191919192,0.945718584251326,273,17,2563,31
0.6349999999999999,0.9413793103448276,0.8980263157894737,0.9934108527131783,0.9191919191919192,0.945718584251326,273,17,2563,31
0.6399999999999999,0.9413793103448276,0.8980263157894737,0.9934108527131783,0.9191919191919192,0.945718584251326,273,17,2563,31
0.6449999999999999,0.9413793103448276,0.8980263157894737,0.9934108527131783,0.9191919191919192,0.945718584251326,273,17,2563,31
0.6499999999999999,0.9413793103448276,0.8980263157894737,0.9934108527131783,0.9191919191919192,0.945718584251326,273,17,2563,31
0.6549999999999999,0.9413793103448276,0.8980263157894737,0.9934108527131783,0.9191919191919192,0.945718584251326,273,17,2563,31
0.6599999999999999,0.9413793103448276,0.8980263157894737,0.9934108527131783,0.9191919191919192,0.945718584251326,273,17,2563,31
0.6649999999999999,0.9446366782006921,0.8980263157894737,0.993798449612403,0.9207419898819562,0.9459123827009384,273,16,2564,31
0.6699999999999999,0.9446366782006921,0.8980263157894737,0.993798449612403,0.9207419898819562,0.9459123827009384,273,16,2564,31
0.6749999999999999,0.9446366782006921,0.8980263157894737,0.993798449612403,0.9207419898819562,0.9459123827009384,273,16,2564,31
0.6799999999999999,0.9479166666666666,0.8980263157894737,0.9941860465116279,0.9222972972972971,0.9461061811505508,273,15,2565,31
0.6849999999999999,0.9545454545454546,0.8980263157894737,0.9949612403100775,0.9254237288135594,0.9464937780497755,273,13,2567,31
0.69,0.9577464788732394,0.8947368421052632,0.9953488372093023,0.9251700680272109,0.9450428396572828,272,12,2568,32
0.695,0.9577464788732394,0.8947368421052632,0.9953488372093023,0.9251700680272109,0.9450428396572828,272,12,2568,32
